model,model_source,model_weights,dataset,path
resnet50,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/resnet50_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
resnet152,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/resnet152_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
regnet_y_16gf,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/regnet_y_16gf_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
regnet_y_16gf,torchvision,IMAGENET1K_V2,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/regnet_y_16gf_IMAGENET1K_V2_torchvision_imagenet-c-motion_blur-1(0).npy
regnet_y_16gf,torchvision,IMAGENET1K_SWAG_E2E_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-c-motion_blur-1(0).npy
regnet_y_32gf,torchvision,IMAGENET1K_V2,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/regnet_y_32gf_IMAGENET1K_V2_torchvision_imagenet-c-motion_blur-1(0).npy
vit_b_16,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/vit_b_16_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
vit_b_16,torchvision,IMAGENET1K_SWAG_E2E_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-c-motion_blur-1(0).npy
vit_l_16,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/vit_l_16_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
vit_h_14,torchvision,IMAGENET1K_SWAG_E2E_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-c-motion_blur-1(0).npy
maxvit_t,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/maxvit_t_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
convnext_tiny,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/convnext_tiny_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
convnext_base,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/convnext_base_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
swin_t,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/swin_t_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
swin_v2_t,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/swin_v2_t_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
efficientnet_b0,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/efficientnet_b0_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
efficientnet_b4,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/efficientnet_b4_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
efficientnet_b7,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-1(0),cache/dissimilarity_arrays/efficientnet_b7_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-1(0).npy
facebook/dinov3-vitb16-pretrain-lvd1689m,huggingface,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-c-motion_blur-3(0).npy
facebook/dinov3-vitl16-pretrain-lvd1689m,huggingface,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-c-motion_blur-3(0).npy
ViT-B/32,clip,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/ViT-B-32_DEFAULT_clip_imagenet-c-motion_blur-3(0).npy
ViT-B/16,clip,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/ViT-B-16_DEFAULT_clip_imagenet-c-motion_blur-3(0).npy
ViT-L/14,clip,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/ViT-L-14_DEFAULT_clip_imagenet-c-motion_blur-3(0).npy
ViT-B-32-256,open_clip,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/ViT-B-32-256_DEFAULT_open_clip_imagenet-c-motion_blur-3(0).npy
ViT-B-16,open_clip,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/ViT-B-16_DEFAULT_open_clip_imagenet-c-motion_blur-3(0).npy
ViT-L-14,open_clip,DEFAULT,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/ViT-L-14_DEFAULT_open_clip_imagenet-c-motion_blur-3(0).npy
resnet18,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/resnet18_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
resnet50,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/resnet50_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
resnet152,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/resnet152_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
regnet_y_16gf,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/regnet_y_16gf_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
regnet_y_16gf,torchvision,IMAGENET1K_V2,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/regnet_y_16gf_IMAGENET1K_V2_torchvision_imagenet-c-motion_blur-3(0).npy
regnet_y_16gf,torchvision,IMAGENET1K_SWAG_E2E_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/regnet_y_16gf_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-c-motion_blur-3(0).npy
regnet_y_32gf,torchvision,IMAGENET1K_V2,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/regnet_y_32gf_IMAGENET1K_V2_torchvision_imagenet-c-motion_blur-3(0).npy
vit_b_16,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/vit_b_16_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
vit_b_16,torchvision,IMAGENET1K_SWAG_E2E_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/vit_b_16_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-c-motion_blur-3(0).npy
vit_l_16,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/vit_l_16_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
vit_h_14,torchvision,IMAGENET1K_SWAG_E2E_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/vit_h_14_IMAGENET1K_SWAG_E2E_V1_torchvision_imagenet-c-motion_blur-3(0).npy
maxvit_t,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/maxvit_t_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
convnext_tiny,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/convnext_tiny_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
convnext_base,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/convnext_base_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
swin_t,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/swin_t_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
swin_v2_t,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/swin_v2_t_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
efficientnet_b0,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/efficientnet_b0_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
efficientnet_b4,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/efficientnet_b4_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
efficientnet_b7,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-3(0),cache/dissimilarity_arrays/efficientnet_b7_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-3(0).npy
facebook/dinov3-vitb16-pretrain-lvd1689m,huggingface,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/facebook-dinov3-vitb16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-c-motion_blur-5(0).npy
facebook/dinov3-vitl16-pretrain-lvd1689m,huggingface,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/facebook-dinov3-vitl16-pretrain-lvd1689m_DEFAULT_huggingface_imagenet-c-motion_blur-5(0).npy
ViT-B/32,clip,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/ViT-B-32_DEFAULT_clip_imagenet-c-motion_blur-5(0).npy
ViT-B/16,clip,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/ViT-B-16_DEFAULT_clip_imagenet-c-motion_blur-5(0).npy
ViT-L/14,clip,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/ViT-L-14_DEFAULT_clip_imagenet-c-motion_blur-5(0).npy
ViT-B-32-256,open_clip,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/ViT-B-32-256_DEFAULT_open_clip_imagenet-c-motion_blur-5(0).npy
ViT-B-16,open_clip,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/ViT-B-16_DEFAULT_open_clip_imagenet-c-motion_blur-5(0).npy
ViT-L-14,open_clip,DEFAULT,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/ViT-L-14_DEFAULT_open_clip_imagenet-c-motion_blur-5(0).npy
resnet18,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/resnet18_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-5(0).npy
resnet50,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/resnet50_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-5(0).npy
resnet152,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/resnet152_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-5(0).npy
regnet_y_16gf,torchvision,IMAGENET1K_V1,imagenet-c-motion_blur-5(0),cache/dissimilarity_arrays/regnet_y_16gf_IMAGENET1K_V1_torchvision_imagenet-c-motion_blur-5(0).npy
